-50.35 -19.89 7.90
-44.63 -21.28 9.10
-48.16 -20.25 6.80
-46.95 -21.60 5.60
-45.04 -21.14 9.90
-46.32 -20.67 6.20
-49.18 -20.30 7.40
-45.67 -21.59 5.30
-48.18 -21.02 4.60
-45.49 -21.61 4.70
-48.55 -20.00 7.60
-51.65 -26.00 5.40
-52.00 -25.78 5.20
-53.48 -25.53 7.70
-51.74 -25.49 5.10
-51.08 -26.23 3.80
-53.74 -24.19 7.90
-54.56 -22.97 13.50
-54.58 -25.42 8.90
-53.53 -22.38 9.00
-53.17 -23.18 5.00
-48.54 -17.99 5.90
-48.67 -16.15 6.20
-47.98 -18.45 7.60
-49.10 -18.42 7.30
-47.70 -19.13 8.00
-50.16 -18.07 8.70
-47.68 -18.05 5.20
-50.50 -19.02 8.60
-50.52 -22.94 3.50
-51.33 -22.65 3.50
-49.73 -23.01 3.20
-49.23 -23.22 3.50
-50.71 -24.06 1.70
-52.87 -22.50 5.80
-47.33 -16.21 5.80
-44.76 -18.95 8.50
-44.86 -15.93 6.00
-45.07 -16.37 7.30
-45.27 -18.16 9.00
-43.83 -11.35 7.50
-48.55 -22.52 3.80
-46.91 -23.46 3.90
-48.99 -21.76 3.70
-50.20 -21.12 4.70
-48.30 -13.40 7.90
-51.20 -27.78 3.70
-51.33 -27.60 3.90
-53.04 -27.14 7.40
-52.38 -27.27 5.00
-51.78 -27.52 3.30
-52.73 -27.35 4.50
-52.54 -26.66 6.50
-55.05 -28.14 4.20
-51.87 -18.68 8.20
-50.76 -19.16 7.50
-50.64 -19.12 5.20
-51.35 -20.40 7.60
-51.63 -20.86 7.50
-53.18 -20.06 6.60
-52.87 -21.66 7.20
-52.91 -22.46 5.40
-50.80 -13.69 9.50
-49.26 -08.27 12.70
-48.37 -09.76 10.90
-47.39 -09.31 11.20
-47.48 -07.33 11.90
-49.65 -03.83 10.10
-51.67 -29.07 2.50
-51.39 -29.01 3.50
-53.28 -29.45 4.00
-52.54 -28.56 3.30
-53.19 -29.02 4.00
-48.87 -25.14 2.10
-49.52 -27.14 3.90
-69.12 -12.60 7.60
-59.46 -10.16 6.80
-65.35 -10.73 9.10
-58.96 -15.12 2.40
-64.65 -09.25 6.50
-64.43 -12.43 4.40
-60.70 -11.99 4.60
-63.45 -08.75 5.60
-63.97 -08.87 8.70
-52.00 -06.74 11.00
-51.77 -06.75 10.90
-51.91 -03.41 9.80
-55.77 -10.98 9.50
-57.04 -09.19 12.10
-42.57 -16.74 10.30
-39.59 -15.97 6.30
-59.47 -01.92 7.50
-54.30 -02.82 7.10
-52.52 -00.65 7.40
-51.20  00.86 8.10
-43.57 -06.75 12.30
-54.83 -17.09 13.10
-58.73 -15.24 5.50
-55.78 -14.87 8.30
-54.83 -17.61 12.60
-39.00 -12.58 2.50
-40.20 -17.90 7.30
-41.72 -20.92 11.60
-42.85 -20.21 13.80
-42.85 -19.64 9.60
-42.66 -19.12 10.40
-40.92 -19.50 6.80
-45.87 -23.37 4.80
-46.03 -23.20 4.60
-44.57 -22.53 5.10
-43.84 -22.48 8.60
-43.54 -21.91 10.60
-43.36 -21.94 12.90
-42.58 -21.84 10.80
-43.83 -22.69 7.10
-53.67 -25.51 7.30
-42.41 -21.45 14.50
-64.66 -09.26 7.50
-51.77 -03.13 10.10
