-50.35 -19.89 12.10
-44.63 -21.28 14.10
-48.16 -20.25 11.70
-46.95 -21.60 12.70
-45.04 -21.14 17.90
-46.32 -20.67 15.40
-49.18 -20.30 10.50
-45.67 -21.59 10.60
-48.18 -21.02 10.10
-45.49 -21.61 10.70
-48.55 -20.00 14.50
-51.65 -26.00 2.20
-52.00 -25.78 3.40
-53.48 -25.53 4.70
-51.74 -25.49 5.40
-51.08 -26.23 3.70
-53.74 -24.19 6.10
-54.56 -22.97 8.30
-54.58 -25.42 7.30
-53.53 -22.38 7.60
-53.17 -23.18 6.50
-48.54 -17.99 8.70
-48.67 -16.15 10.30
-47.98 -18.45 18.80
-49.10 -18.42 10.10
-47.70 -19.13 17.20
-50.16 -18.07 10.70
-47.68 -18.05 9.80
-50.50 -19.02 13.60
-50.52 -22.94 5.80
-51.33 -22.65 6.00
-49.73 -23.01 5.70
-49.23 -23.22 7.60
-50.71 -24.06 5.50
-52.87 -22.50 6.80
-47.33 -16.21 8.50
-44.76 -18.95 16.30
-44.86 -15.93 13.80
-45.07 -16.37 15.40
-45.27 -18.16 19.50
-43.83 -11.35 9.90
-48.55 -22.52 8.40
-46.91 -23.46 5.50
-48.99 -21.76 7.20
-50.20 -21.12 7.00
-48.30 -13.40 14.30
-51.20 -27.78 1.60
-51.33 -27.60 2.00
-53.04 -27.14 1.30
-52.38 -27.27 5.20
-51.78 -27.52 4.10
-52.73 -27.35 7.70
-52.54 -26.66 2.70
-55.05 -28.14 1.10
-51.87 -18.68 10.70
-50.76 -19.16 10.80
-50.64 -19.12 8.80
-51.35 -20.40 10.10
-51.63 -20.86 10.90
-53.18 -20.06 9.40
-52.87 -21.66 9.60
-52.91 -22.46 8.30
-50.80 -13.69 14.00
-49.26 -08.27 15.10
-48.37 -09.76 11.90
-47.39 -09.31 10.20
-47.48 -07.33 13.30
-49.65 -03.83 10.30
-51.67 -29.07 0.80
-51.39 -29.01 1.10
-53.28 -29.45 0.70
-52.54 -28.56 2.00
-53.19 -29.02 1.40
-48.87 -25.14 7.30
-49.52 -27.14 2.60
-69.12 -12.60 9.30
-59.46 -10.16 7.90
-65.35 -10.73 5.00
-58.96 -15.12 5.50
-64.65 -09.25 4.60
-64.43 -12.43 4.20
-60.70 -11.99 6.60
-63.45 -08.75 9.40
-63.97 -08.87 8.60
-52.00 -06.74 14.00
-51.77 -06.75 10.80
-51.91 -03.41 10.00
-55.77 -10.98 10.50
-57.04 -09.19 9.20
-42.57 -16.74 11.80
-39.59 -15.97 10.40
-59.47 -01.92 8.80
-54.30 -02.82 11.50
-52.52 -00.65 8.30
-51.20  00.86 9.30
-43.57 -06.75 8.50
-54.83 -17.09 8.40
-58.73 -15.24 6.30
-55.78 -14.87 9.40
-54.83 -17.61 9.80
-39.00 -12.58 3.80
-40.20 -17.90 10.50
-41.72 -20.92 16.30
-42.85 -20.21 22.80
-42.85 -19.64 26.00
-42.66 -19.12 24.30
-40.92 -19.50 17.70
-45.87 -23.37 6.00
-46.03 -23.20 9.10
-44.57 -22.53 9.20
-43.84 -22.48 9.30
-43.54 -21.91 12.00
-43.36 -21.94 16.30
-42.58 -21.84 14.40
-43.83 -22.69 5.00
-53.67 -25.51 4.60
-64.66 -09.26 8.70
-51.77 -03.13 10.40
